V,hinfjinf
-120,0.994132
-119,0.99329
-118,0.992328
-117,0.991229
-116,0.989973
-115,0.988539
-114,0.986902
-113,0.985032
-112,0.982899
-111,0.980466
-110,0.977691
-109,0.974528
-108,0.970926
-107,0.966825
-106,0.962159
-105,0.956856
-104,0.950834
-103,0.944002
-102,0.93626
-101,0.927501
-100,0.917605
-99,0.906445
-98,0.893884
-97,0.879779
-96,0.863981
-95,0.84634
-94,0.826706
-93,0.804937
-92,0.780903
-91,0.754495
-90,0.725638
-89,0.694295
-88,0.660483
-87,0.624286
-86,0.585862
-85,0.545457
-84,0.503409
-83,0.460153
-82,0.416208
-81,0.372172
-80,0.328698
-79,0.286461
-78,0.246125
-77,0.208303
-76,0.173517
-75,0.142165
-74,0.114495
-73,0.0906008
-72,0.070419
-71,0.0537519
-70,0.0402946
-69,0.0296705
-68,0.0214668
-67,0.0152679
-66,0.0106813
-65,0.00735541
-64,0.00498971
-63,0.00333737
-62,0.00220287
-61,0.00143626
-60,0.000925859
-59,0.00059064
-58,0.000373215
-57,0.000233791
-56,0.000145306
-55,8.97E-05
-54,5.50E-05
-53,3.35E-05
-52,2.03E-05
-51,1.23E-05
-50,7.39E-06
-49,4.43E-06
-48,2.64E-06
-47,1.58E-06
-46,9.36E-07
-45,5.55E-07
-44,3.29E-07
-43,1.94E-07
-42,1.14E-07
-41,6.75E-08
-40,3.97E-08
-39,2.33E-08
-38,1.37E-08
-37,8.04E-09
-36,4.72E-09
-35,2.77E-09
-34,1.62E-09
-33,9.49E-10
-32,5.55E-10
-31,3.25E-10
-30,1.90E-10
-29,1.11E-10
-28,6.50E-11
-27,3.80E-11
-26,2.22E-11
-25,1.30E-11
-24,7.58E-12
-23,4.43E-12
-22,2.59E-12
-21,1.51E-12
-20,8.82E-13
-19,5.15E-13
-18,3.01E-13
-17,1.76E-13
-16,1.03E-13
-15,5.99E-14
-14,3.50E-14
-13,2.04E-14
-12,1.19E-14
-11,6.96E-15
-10,4.06E-15
-9,2.37E-15
-8,1.38E-15
-7,8.08E-16
-6,4.72E-16
-5,2.75E-16
-4,1.61E-16
-3,9.38E-17
-2,5.48E-17
-1,3.20E-17
-3.14E-13,1.87E-17
