V,taum
-100,5.63E-05
-99,6.87E-05
-98,8.39E-05
-97,0.000102377
-96,0.000124945
-95,0.000152483
-94,0.000186083
-93,0.000227076
-92,0.000277084
-91,0.000338083
-90,0.000412476
-89,0.000503187
-88,0.000613773
-87,0.00074855
-86,0.000912756
-85,0.00111274
-84,0.00135617
-83,0.00165231
-82,0.00201232
-81,0.00244959
-80,0.00298011
-79,0.00362295
-78,0.00440066
-77,0.00533972
-76,0.00647102
-75,0.0078301
-74,0.00945739
-73,0.011398
-72,0.0137013
-71,0.0164195
-70,0.0196058
-69,0.0233118
-68,0.0275827
-67,0.0324529
-66,0.0379398
-65,0.0440376
-64,0.0507123
-63,0.0578971
-62,0.0654924
-61,0.0733684
-60,0.0813721
-59,0.0893377
-58,0.0970988
-57,0.104501
-56,0.111411
-55,0.117725
-54,0.123369
-53,0.1283
-52,0.1325
-51,0.135971
-50,0.138728
-49,0.140795
-48,0.142197
-47,0.142958
-46,0.143098
-45,0.142635
-44,0.141582
-43,0.139951
-42,0.137756
-41,0.135015
-40,0.131757
-39,0.128023
-38,0.123871
-37,0.119376
-36,0.114627
-35,0.109729
-34,0.104787
-33,0.0999086
-32,0.0951912
-31,0.0907167
-30,0.0865484
-29,0.0827282
-28,0.0792782
-27,0.0762023
-26,0.0734906
-25,0.0711221
-24,0.0690694
-23,0.0673012
-22,0.065785
-21,0.0644889
-20,0.0633831
-19,0.0624399
-18,0.0616347
-17,0.060946
-16,0.060355
-15,0.0598455
-14,0.0594038
-13,0.0590185
-12,0.0586797
-11,0.0583795
-10,0.0581109
-9,0.0578685
-8,0.0576475
-7,0.0574442
-6,0.0572553
-5,0.0570783
-4,0.056911
-3,0.0567517
-2,0.056599
-1,0.0564515
-3.14E-13,0.0563084
1,0.0561689
2,0.0560322
3,0.0558979
4,0.0557656
5,0.0556348
6,0.0555053
7,0.0553768
8,0.0552491
9,0.0551221
10,0.0549957
11,0.0548697
12,0.054744
13,0.0546186
14,0.0544934
15,0.0543684
16,0.0542435
17,0.0541187
18,0.053994
19,0.0538693
20,0.0537446
21,0.05362
22,0.0534954
23,0.0533708
24,0.0532462
25,0.0531215
26,0.0529969
27,0.0528722
28,0.0527476
29,0.0526229
30,0.0524981
31,0.0523734
32,0.0522486
33,0.0521238
34,0.051999
35,0.0518742
36,0.0517494
37,0.0516245
38,0.0514996
39,0.0513747
40,0.0512498
