V,xsinf2
-100,1.27E-06
-99,1.47E-06
-98,1.69E-06
-97,1.95E-06
-96,2.25E-06
-95,2.60E-06
-94,3.00E-06
-93,3.46E-06
-92,3.99E-06
-91,4.60E-06
-90,5.30E-06
-89,6.11E-06
-88,7.05E-06
-87,8.13E-06
-86,9.37E-06
-85,1.08E-05
-84,1.25E-05
-83,1.44E-05
-82,1.66E-05
-81,1.91E-05
-80,2.20E-05
-79,2.54E-05
-78,2.93E-05
-77,3.37E-05
-76,3.89E-05
-75,4.48E-05
-74,5.16E-05
-73,5.95E-05
-72,6.85E-05
-71,7.90E-05
-70,9.10E-05
-69,0.000104802
-68,0.000120713
-67,0.000139024
-66,0.000160093
-65,0.000184333
-64,0.000212213
-63,0.000244274
-62,0.000281135
-61,0.000323504
-60,0.000372191
-59,0.000428122
-58,0.000492357
-57,0.000566104
-56,0.000650743
-55,0.000747847
-54,0.000859207
-53,0.000986863
-52,0.00113313
-51,0.00130065
-50,0.0014924
-49,0.00171178
-48,0.00196261
-47,0.00224921
-46,0.00257649
-45,0.00294993
-44,0.00337573
-43,0.00386084
-42,0.00441303
-41,0.005041
-40,0.00575446
-39,0.0065642
-38,0.0074822
-37,0.0085217
-36,0.00969731
-35,0.0110251
-34,0.0125227
-33,0.0142093
-32,0.0161058
-31,0.0182348
-30,0.0206207
-29,0.0232894
-28,0.0262688
-27,0.0295884
-26,0.0332791
-25,0.0373732
-24,0.0419042
-23,0.0469065
-22,0.0524152
-21,0.0584654
-20,0.0650921
-19,0.0723295
-18,0.0802105
-17,0.0887662
-16,0.0980251
-15,0.108012
-14,0.11875
-13,0.130254
-12,0.142537
-11,0.155605
-10,0.169457
-9,0.184087
-8,0.199481
-7,0.215618
-6,0.232469
-5,0.25
-4,0.268168
-3,0.286925
-2,0.306215
-1,0.32598
-1.91E-14,0.346154
1,0.36667
2,0.387456
3,0.40844
4,0.429548
5,0.450707
6,0.471846
7,0.492893
8,0.513781
9,0.534447
10,0.554829
11,0.574873
12,0.594528
13,0.613748
14,0.632494
15,0.65073
16,0.668428
17,0.685563
18,0.702116
19,0.718072
20,0.733423
21,0.748162
22,0.762288
23,0.775803
24,0.788713
25,0.801024
26,0.812747
27,0.823896
28,0.834483
29,0.844525
30,0.854038
31,0.863041
32,0.871552
33,0.87959
34,0.887174
35,0.894323
36,0.901058
37,0.907397
38,0.91336
39,0.918964
40,0.924229
41,0.929172
42,0.933809
43,0.938158
44,0.942235
45,0.946054
46,0.949631
47,0.95298
48,0.956114
49,0.959046
50,0.961788
51,0.964351
52,0.966747
53,0.968986
54,0.971077
55,0.97303
56,0.974854
57,0.976557
58,0.978147
59,0.97963
60,0.981014
61,0.982306
62,0.98351
63,0.984634
64,0.985682
65,0.986659
66,0.98757
67,0.98842
68,0.989211
69,0.98995
70,0.990638
71,0.991279
72,0.991876
73,0.992433
74,0.992952
75,0.993435
76,0.993886
77,0.994306
78,0.994697
79,0.995061
80,0.9954
81,0.995716
82,0.996011
83,0.996285
84,0.99654
85,0.996778
86,0.997
87,0.997206
88,0.997398
89,0.997578
90,0.997744
91,0.997899
92,0.998044
93,0.998179
94,0.998304
95,0.998421
96,0.99853
97,0.998631
98,0.998725
99,0.998813
100,0.998895
